sentence,label
"intensely romantic ,",1
the painstaking,0
"both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing",1
"equilibrium the movie , as opposed to the manifesto , is really , really stupid .",0
"nohe 's documentary about the event is sympathetic without being gullible : he is n't blind to the silliness , but also captures moments of spontaneous creativity and authentic co-operative interaction",1
overwhelming waste,0
terrible as the synergistic impulse that created it,0
"the story is predictable , the jokes are typical sandler fare , and the romance with ryder is puzzling .",0
exploitation picture,0
a witty expose,1
feel better already .,1
wait to see it then .,0
"as saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses .",0
few movies are able to accomplish,1
"extended , open-ended poem",1
its invitingly upbeat overture,1
emotionally satisfying,1
blemishes,0
"crisp framing , edgy camera work , and wholesale ineptitude",0
sumptuous ocean visuals and the cinematic stylings of director john stockwell,1
ca n't deny its seriousness and quality,1
", time out offers an exploration that is more accurate than anything i have seen in an american film .",1
mythic status,1
major-league,1
"of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery",1
what makes barbershop so likable,1
deliciously exploitative,1
"fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage",1
", the film ( at 80 minutes ) is actually quite entertaining .",1
consider it ` perfection .,1
succeeds through sincerity,1
"lines , the impressive stagings of hardware",1
distinctive discourse,0
"sometimes charming , sometimes infuriating",1
"nettelbeck has crafted an engaging fantasy of flavors and emotions , one part romance novel , one part recipe book .",1
both gentle and biting,1
absolutely no idea,1
is reliable,1
"the picture begins to resemble the shapeless , grasping actors ' workshop that it is .",0
a gory slash-fest,0
never plays as dramatic even when dramatic things happen to people .,0
that 's because relatively nothing happens .,0
is told as the truth,1
anachronistic quick edits and,1
by the end you ca n't help but feel ` stoked . ',1
it 's a remarkably solid and subtly satirical tour de force .,1
looked uglier,0
open yourself up to mr. reggio 's theory of this imagery as the movie 's set,1
laissez-passer has all the earmarks of french cinema at its best .,1
bloated plot,0
where nothing really happens,0
's often overwritten,0
there are times when the film 's reach exceeds its grasp,0
are odd and pixilated and sometimes both .,0
you will probably have a reasonably good time with the salton sea .,1
the movie is in a class by itself,1
inexperienced,0
poetic force and buoyant feeling,1
shame americans,0
may be surprised at the variety of tones in spielberg 's work .,1
's an ambitious film,1
of the most entertaining bonds in years,1
"soderbergh 's best films , `` erin brockovich , '' `` out of sight ''",1
irony,0
a few points about modern man and his problematic quest for human connection,1
"humor about itself , a playful spirit and a game cast",1
to pamela 's emotional roller coaster life,1
play like the worst kind of hollywood heart-string plucking,0
fade from memory,0
problem,0
gives these women,1
's best served cold,1
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks .",0
you are n't very bright,0
to make its subject interesting to those who are n't part of its supposed target audience,1
"seemed bored , cheering the pratfalls but little else",0
every bit as distinctive,1
great,1
lacks,0
concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation,1
", thought-provoking new york fest",1
it would have worked so much better dealing in only one reality,0
the feature-length stretch ... strains the show 's concept .,0
gritty,1
lurid,0
alarms for duvall 's throbbing sincerity and his elderly propensity for patting people while he talks .,1
orgasm,1
raises the film above anything sandler 's been attached to before .,1
horror/action hybrid,1
fantasy,1
made without a glimmer of intelligence or invention,0
"painful , horrifying and oppressively tragic , this film should not be missed .",1
false and fabricated,0
"a pleasant distraction , a friday night diversion ,",1
pulp melodrama,0
is one adapted - from-television movie that actually looks as if it belongs on the big screen,1
a fierce dance,1
jumps to the head of the class of women 's films,1
what it lacks in substance it makes up for in heart .,1
but something far more stylish and cerebral -- and,1
remarkably mature,1
it 's always fascinating to watch marker the essayist at work .,1
"shows its indie tatters and self-conscious seams in places ,",0
to make j.k. rowling 's marvelous series into a deadly bore,0
stimulating,1
"pat , fairy-tale conclusion",1
listless,0
"brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images",1
that were already tired 10 years ago,0
"in this poor remake of such a well loved classic , parker exposes the limitations of his skill and the basic flaws in his vision . '",0
most good-hearted yet,1
the charm and little,1
a transparently hypocritical work,0
laughing in the crowd,1
"a single man 's struggle to regain his life , his dignity and his music",1
"it 's about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic .",0
"charming , sometimes infuriating",1
powerful and telling story,1
phoney-feeling,0
too safe,0
his story ends or just ca n't tear himself away from the characters,1
is more interested in entertaining itself than in amusing us,0
with often surprising twists and an intermingling of naiveté and sophistication,1
"acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses .",1
is a shapeless inconsequential move relying on the viewer to do most of the work .,0
long on glamour,1
good a job as anyone,1
becomes instead a grating endurance test .,0
of nijinsky,1
hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .,1
an affection for the period,1
pink floyd tickets,1
"going for it , not least the brilliant performances by testud",1
invitingly upbeat,1
enough originality in ` life ' to distance it from the pack of paint-by-number romantic comedies,1
", the picture feels as if everyone making it lost their movie mojo .",0
"this is a very funny , heartwarming film .",1
stylistic,1
pristine style and bold colors,1
elegant and,1
a movie like the guys is why film criticism can be considered work .,0
", lame screenplay",0
"written a more credible script , though with the same number of continuity errors",0
filled with raw emotions,1
"to find an enthusiastic audience among american action-adventure buffs , but the film 's interests",0
really sets the film apart is debrauwer 's refusal to push the easy emotional buttons,1
shrieky special effects,0
a shrewd and effective film,1
uninspired .,0
well,1
", it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work .",0
this one makes up for in heart what it lacks in outright newness .,1
zings along with vibrance and warmth,1
end all chases,1
is grand-scale,1
with depth,1
waterlogged script,0
of most convincing emotional gravity from a scene where santa gives gifts to grownups,1
the reaction in williams is as visceral as a gut punch,1
rendered with such clarity,1
"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .",0
uplifter,1
to endure instead of enjoy,0
they wo n't enjoy the movie at all .,0
a serious drama,1
done with noticeably less energy and imagination,0
something a little more special behind it :,1
is so deadly dull that watching the proverbial paint dry would be a welcome improvement .,0
a well-crafted film,1
possible argentine american beauty reeks,0
the most disappointing woody allen movie,0
but that they are doing it is thought-provoking .,1
"as darkly funny , energetic",1
daft by half ... but supremely good natured .,1
clever exercise,1
manages to squeeze by on angelina jolie 's surprising flair for self-deprecating comedy .,1
"the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed",0
"is not really a film as much as it is a loose collection of not-so-funny gags , scattered moments of lazy humor",0
successfully,1
"have a good shot at a hollywood career , if they want one",1
the best little `` horror '' movie,1
too many prefabricated story elements,0
feels familiar and tired,0
and thought-provoking film,1
"serves as auto-critique , and its clumsiness as its own most damning censure .",0
"it 's sweet and fluffy at the time , but",1
may have expected to record with their mini dv,1
my greatest pictures,1
campanella 's competent direction and his excellent cast,1
his storytelling skills have eroded,0
is a desperate miscalculation,0
is nonexistent .,0
has neither the charisma nor the natural affability that has made tucker a star .,0
"its agenda to deliver awe-inspiring , at times sublime , visuals",1
the project should have been made for the tube .,0
"it 's funny , touching , dramatically forceful , and beautifully shot .",1
such a lousy way,0
as the movie dragged on,0
is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,0
the movie only proves that hollywood no longer has a monopoly on mindless action,0
crowdpleaser,1
as decent drama/action flick,1
", mr. rose 's updating works surprisingly well .",1
skillful filmmaker,1
going on inside each trailer park you drive past -- even if it chiefly inspires you to drive a little faster,1
"he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift .",1
equals the original and in some ways even betters it,1
with one of france 's most inventive directors,1
"like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes .",0
it 's almost impossible not to be swept away by the sheer beauty of his images .,1
more frustrating than a modem that disconnects every 10 seconds,0
"this is pure , exciting moviemaking .",1
gets under our skin and,1
who have carved their own comfortable niche in the world,1
"here a more annoying , though less angry",0
are the lively intelligence of the artists and their perceptiveness about their own situations .,1
strong piece of work,1
the atmosphere of the crime expertly,1
huge disappointment coming,0
"shows off a lot of stamina and vitality , and",1
"is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent of run lola run",0
the subtitles fool you,0
"the emperor 's club ,",1
scummy ripoff,0
"the charm of revolution os is rather the way it introduces you to new , fervently held ideas and fanciful thinkers .",1
too amateurish and awkward,0
survive its tonal transformation from dark comedy to suspense thriller,1
"i 've never bought from telemarketers , but i bought this movie",1
by a master,1
insanely funny,1
", you feel alive - which is what they did",1
this story about love and culture,1
"you can fire a torpedo through some of clancy 's holes ,",0
is effective if you stick with it,1
lucy liu never comes together,0
during sunset,1
elevated by michael caine 's performance as a weary journalist in a changing world,1
"'s a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team .",1
taken the protagonists a full hour,0
insane,0
you realize there 's no place for this story to go but down,1
the ordeal of sitting through it,0
becomes lifeless and falls apart like a cheap lawn chair,0
laughed at,1
"can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards .",1
", banter-filled comedy",1
is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and/or restroom and not feel as if he or she has missed anything .,0
that the journey is such a mesmerizing one,1
"seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device",0
was as superficial as the forced new jersey lowbrow accent uma had,0
trying to have it both ways,0
"is a popcorn film , not a must-own , or even a must-see",0
with imagination,1
"is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff",1
makes salton sea surprisingly engrossing,1
( a ) strong piece of work .,1
burns is a filmmaker with a bright future ahead of him,1
low-brow humor,0
"'s a visual delight and a decent popcorn adventure ,",1
"a smart , sassy and exceptionally charming",1
thinly-conceived,0
lovely,1
a nice album,1
pared down its plots and characters to a few rather than dozens,0
check your pulse .,0
flat champagne,0
ludicrous,0
instantly forgettable and thoroughly dull,0
broad cross-section,1
seem authentic,1
the country bears wastes an exceptionally good idea .,0
grumble,0
trying to please his mom,1
like a typical bible killer story,0
"offensive , puerile and unimaginatively foul-mouthed",0
thrilling movie,1
enthralling aesthetic experience,1
collision,0
"indeed , the first half of sorority boys is as appalling as any ` comedy ' to ever spill from a projector 's lens",0
"gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry",1
"colorful , energetic and sweetly whimsical ... the rare sequel that 's better than its predecessor .",1
that strikes a very resonant chord,1
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,0
a live-wire film,1
worth sitting through,1
"feeling this movie until it veered off too far into the exxon zone , and left me behind at the station looking for a return ticket to realism",0
sometimes exceptional film,1
rather unexceptional,0
that pretends to be passionate and truthful but is really frustratingly timid and soggy,0
"loud , witless mess",0
"has a more colorful , more playful tone than his other films .",1
good intentions,1
"as a kind of colorful , dramatized pbs program , frida gets the job done .",1
terrific b movie,1
talky,1
( like saturday morning tv in the '60s ),1
posing as a real movie,0
appeal to asian cult cinema fans and asiaphiles interested to see what all the fuss is about .,1
"louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman 's script stumbles over a late-inning twist that just does n't make sense .",0
a potentially incredibly twisting mystery,1
just one bad idea after another .,0
it 's a spirited film and a must-see,1
if it were n't silly,0
"notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal ,",1
"j. lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she 's a pretty woman , but she 's no working girl .",1
invigorating,1
sustains,1
"the music makes a nice album ,",1
", vulgar is , truly and thankfully , a one-of-a-kind work .",0
all add up to a satisfying crime drama .,1
the history is fascinating ; the action is dazzling .,1
is rather pretentious,0
is even worse,0
humanizing,1
pleasing at its best moments,1
little more than routine,0
"a warm , fuzzy feeling prevails",1
her presence succeeds in making us believe,1
"who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny",0
undernourished and,0
without ever being self-important,1
"it 's an entertaining movie ,",1
the same problems,0
a vibrant whirlwind,1
"the appeal of the vulgar , sexist , racist humor went over my head or -- considering just how low brow it is -- perhaps it snuck under my feet .",0
all-time low,0
"is the performance of gedeck , who makes martha enormously endearing .",1
"is a hoot , and is just as good , if not better than much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand",1
blatant and sickening product placement,0
sparking,1
convincing portrayal,1
"berry 's saucy , full-bodied performance",1
"through its flaws , revolution # 9 proves to be a compelling",1
"flat-out amusing , sometimes endearing",1
"flawless film ,",1
unfunny comedy,0
about one in three gags in white 's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .,0
chore,0
an erratic career,0
come to love,1
rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative,1
lunacy,0
the most horrific movie experience i 've had since `` ca n't stop the music . '',0
place for a great film noir,1
"i think it was plato who said , ' i think , therefore i know better than to rush to the theater for this one",0
"in asia , where ms. shu is an institution",1
the very best of them,1
'' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .,1
a torn book jacket,1
